Configuration,ROC-AUC,PR-AUC,Precision,Recall,F1,Brier,CI_lower,CI_upper,Delta_AUC_vs_proposed,Paired_bootstrap_z_vs_proposed,Paired_bootstrap_p_vs_proposed,Delta_AUC,Paired_bootstrap_z,Paired_bootstrap_p
Structured only,0.9090974859829988,0.8519083222103596,0.8522727272727273,0.7731958762886598,0.8108108108108109,0.042576944421997595,0.8619762651145945,0.9521611915594107,0.06024597576415258,3.2561887039261634,0.0011291867686347157,0.0,,
Structured + LLM only,0.9693434617471514,0.9077920972621181,0.8144329896907216,0.8144329896907216,0.8144329896907216,0.03899604500270581,0.948108732598966,0.9855965838499584,0.0,0.0,1.0,0.06024597576415258,3.2561887039261634,0.0011291867686347157
