Configuration,ROC_AUC_new,ROC_AUC_prior,ROC_AUC_delta,PR_AUC_delta,F1_delta
Structured only,0.9090974859829988,0.9090974859829988,0.0,0.0,0.0
Structured + VADER,0.9225718936516549,0.9225718936516548,1.1102230246251565e-16,0.0,0.0
Structured + TF-IDF+SVD,0.988659793814433,0.988659793814433,0.0,1.1102230246251565e-16,0.0
Structured + RoBERTa sentiment,0.9726894555977573,0.9726894555977572,1.1102230246251565e-16,0.0,0.0
Structured + Mistral 7B cleaned semantic features,0.9693434617471514,0.9693434617471514,0.0,1.1102230246251565e-16,0.0
