Configuration,ROC-AUC,PR-AUC,Precision,Recall,F1,Brier,CI_lower,CI_upper,Delta_AUC_vs_proposed,Paired_bootstrap_z_vs_proposed,Paired_bootstrap_p_vs_proposed
Structured only,0.9090974859829988,0.8519083222103596,0.8522727272727273,0.7731958762886598,0.8108108108108109,0.042576944421997595,0.8619762651145945,0.9521611915594107,0.06024597576415258,3.2561887039261634,0.0011291867686347157
Structured + VADER,0.9225718936516549,0.8600484519743798,0.8522727272727273,0.7731958762886598,0.8108108108108109,0.04188559721817045,0.8809076590712608,0.9566595974902016,0.04677156809549643,3.274181964616917,0.0010596834917697695
Structured + TF-IDF+SVD,0.988659793814433,0.9618938031605969,0.9157894736842105,0.8969072164948454,0.90625,0.021745941570407074,0.9776773704580839,0.9966945860736476,-0.019316332067281672,-3.1884337430666148,0.0014304578795345524
Structured + RoBERTa sentiment,0.9726894555977573,0.9241004517233286,0.8469387755102041,0.8556701030927835,0.8512820512820513,0.03283628140638245,0.9521928247080944,0.9881370128241456,-0.003345993850605966,-0.5970816194568719,0.550452888958529
Structured + Mistral 7B cleaned semantic features,0.9693434617471514,0.9077920972621181,0.8144329896907216,0.8144329896907216,0.8144329896907216,0.03899604500270581,0.948108732598966,0.9855965838499584,0.0,0.0,1.0
